 	172800 	NS 	ns-832.awsdns-40.net.
geo-bas-ee. 	300 	CNAME 	client-ipv6-to-nginx-ipv4-2f7b55db541431db.elb.us-west-2.amazonaws.com.
geo-bas-eu. 	300 	CNAME 	client-ipv6-to-nginx-ipv4-2f7b55db541431db.elb.us-west-2.amazonaws.com.
geo-bas-jp. 	300 	CNAME 	client-ipv6-to-nginx-ipv4-2f7b55db541431db.elb.us-west-2.amazonaws.com.
geo-bas-la. 	300 	CNAME 	client-ipv6-to-nginx-ipv4-2f7b55db541431db.elb.us-west-2.amazonaws.com.
geo-bas-me. 	300 	CNAME 	client-ipv6-to-nginx-ipv4-2f7b55db541431db.elb.us-west-2.amazonaws.com.
geo-bas-na. 	300 	CNAME 	client-ipv6-to-nginx-ipv4-2f7b55db541431db.elb.us-west-2.amazonaws.com.
geo-bas-oc. 	300 	CNAME 	client-ipv6-to-nginx-ipv4-2f7b55db541431db.elb.us-west-2.amazonaws.com.
geo-bas-sa. 	300 	CNAME 	client-ipv6-to-nginx-ipv4-2f7b55db541431db.elb.us-west-2.amazonaws.com.
geo-bas. 	300 	CNAME 	client-ipv6-to-nginx-ipv4-2f7b55db541431db.elb.us-west-2.amazonaws.com.
google-voice-test. 	300 	CNAME 	sitnew-njbpapi-apigateway-6417c96bf3383c2e.elb.us-west-2.amazonaws.com.
google-voice. 	300 	CNAME 	voiceservice-gateway-285ec3d05738f6f4.elb.us-west-2.amazonaws.com.
hea-jrnl-af. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com.
hea-jrnl-as. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com.
hea-jrnl-ea. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com.
hea-jrnl-ee. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com.
hea-jrnl-eu. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com.
hea-jrnl-jp. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com.
hea-jrnl-la. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com.
hea-jrnl-me. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com.
hea-jrnl-na. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com.
hea-jrnl-oc. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com.
hea-jrnl-ru. 	300 	A 	84.201.153.45
hea-jrnl-sa. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com.
hea-jrnl. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com.
het-jucloud. 	300 	CNAME 	jhk-nephele-d797dbff1beae446.elb.eu-central-1.amazonaws.com.
home-ui-af. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
home-ui-as. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
